State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
NSW,13340,Greater Hume,Antineoplastic and immunomodulating agents,0.27,0.24,0.23,0.24,"11,267","3,042","2,704","2,591","2,704",338,113,113,10901117501,Albury Surrounds,10901,Albury,Murray,Rest of NSW
WA,57080,Perenjori,Nervous system,1.65,1.56,1.26,1.54,652,"1,076","1,017",822,"1,004",59,196,183,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
NSW,12000,Coolamon,Musculo-skeletal system,0.68,0.69,0.63,0.63,"4,465","3,036","3,081","2,813","2,813",45,268,0,11303126620,Temora,11303,Wagga Wagga,Riverina,Rest of NSW
VIC,21010,Benalla,Dermatologicals,0.21,0.21,0.19,0.19,"14,457","3,036","3,036","2,747","2,747",0,289,0,20402106301,Benalla,20402,Wangaratta - Benalla,Hume,Rest of Vic.
SA,42250,Grant,Musculo-skeletal system,0.34,0.33,0.34,0.33,"8,927","3,035","2,946","3,035","2,946",89,89,89,40702115001,Grant,40702,Limestone Coast,South Australia - South East,Rest of SA
SA,43080,Karoonda East Murray,Alimentary tract and metabolism,2.95,2.82,2.7,2.77,"1,027","3,030","2,896","2,773","2,845",134,123,72,40703116103,Karoonda - Lameroo,40703,Murray and Mallee,South Australia - South East,Rest of SA
TAS,61210,Circular Head,Genito urinary system and sex hormones,0.36,0.38,0.37,0.36,"8,367","3,012","3,179","3,096","3,012",167,84,84,60403109401,North West,60403,West Coast,West and North West,Rest of Tas.
TAS,61210,Circular Head,Sensory organs,0.36,0.33,0.29,0.24,"8,367","3,012","2,761","2,426","2,008",251,335,418,60403109401,North West,60403,West Coast,West and North West,Rest of Tas.
WA,52450,Cunderdin,Alimentary tract and metabolism,2.24,2.12,2.07,1.85,"1,344","3,011","2,849","2,782","2,486",161,67,296,50902123708,Cunderdin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
QLD,35600,Murweh,Respiratory system,0.76,0.78,0.74,0.75,"3,961","3,010","3,090","2,931","2,971",79,158,40,31503140901,Charleville,31503,Outback - South,Queensland - Outback,Rest of Qld
SA,41330,Coober Pedy,Alimentary tract and metabolism,1.91,1.83,1.91,1.96,"1,574","3,006","2,880","3,006","3,085",126,126,79,40602113901,Coober Pedy,40602,Outback - North and East,South Australia - Outback,Rest of SA
SA,41140,Clare and Gilbert Va,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.33,0.32,0.3,"9,383","3,003","3,096","3,003","2,815",94,94,188,40502111601,Clare,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
TAS,65610,West Coast,Musculo-skeletal system,0.69,0.69,0.77,0.84,"4,351","3,002","3,002","3,350","3,655",0,348,305,60403109701,West Coast (Tas.),60403,West Coast,West and North West,Rest of Tas.
NT,72300,Litchfield,Antineoplastic and immunomodulating agents,0.13,0.12,0.12,0.12,"23,087","3,001","2,770","2,770","2,770",231,0,0,70102101203,Berrimah,70102,Darwin Suburbs,Darwin,Greater Darwin
SA,48130,Wakefield,Genito urinary system and sex hormones,0.43,0.44,0.4,0.44,"6,971","2,998","3,067","2,788","3,067",70,279,279,40502111901,Wakefield - Barunga West,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
SA,48750,Yankalilla,Sensory organs,0.5,0.48,0.47,0.47,"5,992","2,996","2,876","2,816","2,816",120,60,0,40701114902,Yankalilla,40701,Fleurieu - Kangaroo Island,South Australia - South East,Rest of SA
SA,46300,Port Lincoln,Dermatologicals,0.2,0.2,0.23,0.19,"14,956","2,991","2,991","3,440","2,842",0,449,598,40601113301,Port Lincoln,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
NSW,12900,Forbes,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.33,0.33,0.33,"9,339","2,988","3,082","3,082","3,082",93,0,0,10302106216,Condobolin,10302,Lachlan Valley,Central West,Rest of NSW
QLD,36300,Richmond,Cardiovascular system,3.84,4.07,4.11,4.84,777,"2,984","3,162","3,193","3,761",179,31,567,31502140701,Northern Highlands,31502,Outback - North,Queensland - Outback,Rest of Qld
WA,57080,Perenjori,Alimentary tract and metabolism,1.1,0.97,1.18,1.25,652,717,632,769,815,85,137,46,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
VIC,22980,Hindmarsh,Genito urinary system and sex hormones,0.53,0.5,0.47,0.52,"5,599","2,967","2,800","2,632","2,911",168,168,280,21501139001,Nhill Region,21501,Grampians,North West,Rest of Vic.
SA,40430,Barunga West,Respiratory system,1.11,1.14,1.15,1.19,"2,673","2,967","3,047","3,074","3,181",80,27,107,40502111917,Wakefield - Barunga West,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
WA,57080,Perenjori,Antiinfectives for systemic use,0.49,0.41,0.44,0.45,652,319,267,287,293,52,20,7,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
NSW,13010,Glen Innes Severn,Antineoplastic and immunomodulating agents,0.33,0.32,0.32,0.25,"8,945","2,952","2,862","2,862","2,236",89,0,626,11002119001,Glen Innes,11002,Inverell - Tenterfield,New England and North West,Rest of NSW
WA,57080,Perenjori,Blood and blood forming organs,0.31,0.3,0.34,0.4,652,202,196,222,261,7,26,39,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
SA,45090,Naracoorte Lucindale,Sensory organs,0.33,0.34,0.35,0.31,"8,917","2,943","3,032","3,121","2,764",89,89,357,40702115401,Naracoorte,40702,Limestone Coast,South Australia - South East,Rest of SA
QLD,37400,Winton,Alimentary tract and metabolism,2.59,2.46,2.46,2.45,"1,134","2,937","2,790","2,790","2,778",147,0,11,31503141001,Far Central West,31503,Outback - South,Queensland - Outback,Rest of Qld
WA,57080,Perenjori,Musculo-skeletal system,0.31,0.31,0.31,0.37,652,202,202,202,241,0,0,39,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,50840,Bridgetown-Greenbush,Respiratory system,0.53,0.56,0.54,0.52,"5,526","2,929","3,095","2,984","2,874",166,111,111,50103101703,Bridgetown - Boyup Brook,50103,Manjimup,Bunbury,Rest of WA
TAS,61210,Circular Head,"Systemic hormonal preparations, excl. sex hormones and insulins",0.35,0.37,0.33,0.29,"8,367","2,928","3,096","2,761","2,426",167,335,335,60403109401,North West,60403,West Coast,West and North West,Rest of Tas.
WA,57080,Perenjori,Respiratory system,0.31,0.3,0.32,0.3,652,202,196,209,196,7,13,13,50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,52660,Dardanup,Dermatologicals,0.19,0.18,0.16,0.15,"15,370","2,920","2,767","2,459","2,306",154,307,154,50102100507,Australind - Leschenault,50102,Bunbury,Bunbury,Rest of WA
WA,54130,Jerramungup,Nervous system,2.44,2.42,2.35,2.52,"1,196","2,918","2,894","2,811","3,014",24,84,203,50901122904,Gnowangerup,50901,Albany,Western Australia - Wheat Belt,Rest of WA
SA,46970,Roxby Downs,Antiinfectives for systemic use,0.71,0.7,0.56,0.56,"4,102","2,912","2,871","2,297","2,297",41,574,0,40602114301,Roxby Downs,40602,Outback - North and East,South Australia - Outback,Rest of SA
VIC,24250,Mansfield,"Systemic hormonal preparations, excl. sex hormones and insulins",0.28,0.26,0.24,0.23,"10,335","2,894","2,687","2,480","2,377",207,207,103,20401105405,Alexandra,20401,Upper Goulburn Valley,Hume,Rest of Vic.
NSW,15850,Narromine,Sensory organs,0.45,0.49,0.47,0.5,"6,430","2,894","3,151","3,022","3,215",257,129,193,10503110501,Narromine,10503,Dubbo,Far West and Orana,Rest of NSW
NSW,14600,Lachlan,Sensory organs,0.47,0.47,0.47,0.54,"6,139","2,885","2,885","2,885","3,315",0,0,430,10302106201,Condobolin,10302,Lachlan Valley,Central West,Rest of NSW
TAS,61810,Dorset,Genito urinary system and sex hormones,0.41,0.43,0.46,0.44,"7,022","2,879","3,019","3,230","3,090",140,211,140,60203105807,Dilston - Lilydale,60203,North East,Launceston and North East,Rest of Tas.
NSW,17350,Temora,Genito urinary system and sex hormones,0.48,0.49,0.46,0.46,"5,996","2,878","2,938","2,758","2,758",60,180,0,11303126601,Temora,11303,Wagga Wagga,Riverina,Rest of NSW
VIC,26430,Strathbogie,Dermatologicals,0.25,0.23,0.23,0.24,"11,510","2,878","2,647","2,647","2,762",230,0,115,20401105501,Euroa,20401,Upper Goulburn Valley,Hume,Rest of Vic.
WA,54620,Kondinin,Cardiovascular system,3.32,3.57,3.38,3.6,866,"2,875","3,092","2,927","3,118",217,165,191,50903124702,Kulin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,59170,Williams,Nervous system,2.73,2.85,2.92,3.01,"1,053","2,875","3,001","3,075","3,170",126,74,95,50903125002,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,56730,Northam,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"11,934","2,864","2,864","2,864","2,864",0,0,0,50902124301,Northam,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
NSW,15800,Narrandera,Sensory organs,0.5,0.49,0.47,0.48,"5,721","2,861","2,803","2,689","2,746",57,114,57,11301125901,Narrandera,11301,Griffith - Murrumbidgee (West),Riverina,Rest of NSW
SA,48640,Wudinna,Nervous system,2.46,2.64,2.53,2.22,"1,162","2,859","3,068","2,940","2,580",209,128,360,40601113201,Le Hunte - Elliston,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
VIC,22980,Hindmarsh,Sensory organs,0.51,0.51,0.5,0.51,"5,599","2,855","2,855","2,800","2,855",0,56,56,21501139001,Nhill Region,21501,Grampians,North West,Rest of Vic.
WA,51400,Capel,Dermatologicals,0.15,0.15,0.16,0.16,"19,002","2,850","2,850","3,040","3,040",0,190,0,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
VIC,25810,Northern Grampians,Dermatologicals,0.24,0.24,0.24,0.24,"11,875","2,850","2,850","2,850","2,850",0,0,0,21501139101,St Arnaud,21501,Grampians,North West,Rest of Vic.
NSW,14300,Junee,Genito urinary system and sex hormones,0.44,0.42,0.41,0.38,"6,465","2,845","2,715","2,651","2,457",129,65,194,11303126501,Junee,11303,Wagga Wagga,Riverina,Rest of NSW
WA,55460,Merredin,Antiinfectives for systemic use,0.88,0.88,0.84,0.8,"3,232","2,844","2,844","2,715","2,586",0,129,129,50902124003,Merredin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
VIC,26890,West Wimmera,Blood and blood forming organs,0.72,0.72,0.7,0.73,"3,942","2,838","2,838","2,759","2,878",0,79,118,21501139006,Nhill Region,21501,Grampians,North West,Rest of Vic.
WA,57210,Port Hedland,Cardiovascular system,1.32,1.42,1.36,1.39,"17,015","22,460","24,161","23,140","23,651","1,702","1,021",510,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,58540,Victoria Plains,Nervous system,3.44,3.24,3.34,3.33,824,"2,835","2,670","2,752","2,744",165,82,8,50902124101,Moora,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
NT,70700,Coomalie,Alimentary tract and metabolism,2.03,1.97,1.81,1.91,"1,396","2,834","2,750","2,527","2,666",84,223,140,70203105704,Alligator,70203,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT
VIC,25990,Pyrenees,"Systemic hormonal preparations, excl. sex hormones and insulins",0.37,0.36,0.36,0.34,"7,651","2,831","2,754","2,754","2,601",77,0,153,20103101301,Avoca,20103,Maryborough - Pyrenees,Ballarat,Rest of Vic.
WA,57210,Port Hedland,Nervous system,1.15,1.15,1.15,1.26,"17,015","19,567","19,567","19,567","21,439",0,0,"1,872",50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,52590,Dandaragan,Blood and blood forming organs,0.79,0.78,0.69,0.65,"3,573","2,823","2,787","2,465","2,322",36,322,143,50902123902,Gingin - Dandaragan,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
WA,51750,Claremont,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"11,718","2,812","2,812","2,812","2,812",0,0,0,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Claremont,Dermatologicals,0.24,0.24,0.23,0.23,"11,718","2,812","2,812","2,695","2,695",0,117,0,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,51750,Claremont,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.25,0.25,0.24,"11,718","2,812","2,930","2,930","2,812",117,0,117,50301103102,Claremont (WA),50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
NSW,10850,Blayney,Sensory organs,0.37,0.38,0.36,0.42,"7,591","2,809","2,885","2,733","3,188",76,152,455,10304107601,Blayney,10304,Orange,Central West,Rest of NSW
SA,43710,Lower Eyre Peninsula,Antiinfectives for systemic use,0.46,0.52,0.42,0.41,"6,099","2,806","3,171","2,562","2,501",366,610,61,40601113001,Eyre Peninsula,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
VIC,26080,Queenscliffe,Sensory organs,0.87,0.82,0.76,0.71,"3,220","2,801","2,640","2,447","2,286",161,193,161,20303105201,Point Lonsdale - Queenscliff,20303,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
TAS,62410,Glamorgan-Spring Bay,Genito urinary system and sex hormones,0.54,0.51,0.51,0.49,"5,187","2,801","2,645","2,645","2,542",156,0,104,60106103515,Sorell - Richmond,60106,Sorell - Dodges Ferry,Hobart,Greater Hobart
TAS,62410,Glamorgan-Spring Bay,Sensory organs,0.54,0.53,0.53,0.51,"5,187","2,801","2,749","2,749","2,645",52,0,104,60106103515,Sorell - Richmond,60106,Sorell - Dodges Ferry,Hobart,Greater Hobart
NSW,17850,Walcha,Antiinfectives for systemic use,0.93,0.87,0.72,0.7,"3,010","2,799","2,619","2,167","2,107",181,452,60,11001118901,Walcha,11001,Armidale,New England and North West,Rest of NSW
WA,58330,Toodyay,Respiratory system,0.58,0.58,0.61,0.64,"4,812","2,791","2,791","2,935","3,080",0,144,144,50902124401,Toodyay,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
VIC,23940,Loddon,Sensory organs,0.36,0.38,0.38,0.38,"7,748","2,789","2,944","2,944","2,944",155,0,0,20202102803,Castlemaine Surrounds,20202,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
WA,55740,Mosman Park,Respiratory system,0.29,0.32,0.32,0.31,"9,605","2,785","3,074","3,074","2,978",288,0,96,50301103402,Mosman Park - Peppermint Grove,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,57210,Port Hedland,Alimentary tract and metabolism,0.65,0.63,0.61,0.63,"17,015","11,060","10,719","10,379","10,719",340,340,340,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,58680,Wandering,Nervous system,5.07,4.82,4.55,4.27,548,"2,778","2,641","2,493","2,340",137,148,153,50903124606,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NT,72300,Litchfield,Dermatologicals,0.12,0.12,0.12,0.12,"23,087","2,770","2,770","2,770","2,770",0,0,0,70102101203,Berrimah,70102,Darwin Suburbs,Darwin,Greater Darwin
NT,73600,Roper Gulf,Cardiovascular system,0.37,0.37,0.31,0.39,"7,477","2,766","2,766","2,318","2,916",0,449,598,70205106501,Elsey,70205,Katherine,Northern Territory - Outback,Rest of NT
NSW,17350,Temora,Sensory organs,0.46,0.51,0.47,0.45,"5,996","2,758","3,058","2,818","2,698",300,240,120,11303126601,Temora,11303,Wagga Wagga,Riverina,Rest of NSW
VIC,25990,Pyrenees,Sensory organs,0.36,0.35,0.36,0.36,"7,651","2,754","2,678","2,754","2,754",77,77,0,20103101301,Avoca,20103,Maryborough - Pyrenees,Ballarat,Rest of Vic.
WA,57210,Port Hedland,Antiinfectives for systemic use,0.41,0.43,0.39,0.44,"17,015","6,976","7,316","6,636","7,487",340,681,851,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,52590,Dandaragan,Musculo-skeletal system,0.77,0.72,0.71,0.66,"3,573","2,751","2,573","2,537","2,358",179,36,179,50902123902,Gingin - Dandaragan,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
NSW,14750,Leeton,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"11,454","2,749","2,749","2,749","2,749",0,0,0,11301125730,Griffith Surrounds,11301,Griffith - Murrumbidgee (West),Riverina,Rest of NSW
WA,51890,Collie,"Systemic hormonal preparations, excl. sex hormones and insulins",0.3,0.3,0.29,0.31,"9,150","2,745","2,745","2,654","2,837",0,92,183,50102100901,Collie,50102,Bunbury,Bunbury,Rest of WA
WA,57210,Port Hedland,Musculo-skeletal system,0.24,0.24,0.24,0.24,"17,015","4,084","4,084","4,084","4,084",0,0,0,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
SA,43220,Kimba,Alimentary tract and metabolism,2.58,2.47,2.38,2.29,"1,059","2,732","2,616","2,520","2,425",116,95,95,40601113101,Kimba - Cleve - Franklin Harbour,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
WA,57210,Port Hedland,Blood and blood forming organs,0.14,0.12,0.13,0.16,"17,015","2,382","2,042","2,212","2,722",340,170,510,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
QLD,33980,Isaac,Antineoplastic and immunomodulating agents,0.12,0.12,0.12,0.12,"22,746","2,730","2,730","2,730","2,730",0,0,0,31201133802,Broadsound - Nebo,31201,Bowen Basin - North,Mackay - Isaac - Whitsunday,Rest of Qld
QLD,33980,Isaac,Dermatologicals,0.12,0.12,0.1,0.12,"22,746","2,730","2,730","2,275","2,730",0,455,455,31201133802,Broadsound - Nebo,31201,Bowen Basin - North,Mackay - Isaac - Whitsunday,Rest of Qld
QLD,33980,Isaac,Sensory organs,0.12,0.13,0.14,0.16,"22,746","2,730","2,957","3,184","3,639",227,227,455,31201133802,Broadsound - Nebo,31201,Bowen Basin - North,Mackay - Isaac - Whitsunday,Rest of Qld
WA,58820,Waroona,Blood and blood forming organs,0.62,0.59,0.56,0.53,"4,399","2,727","2,595","2,463","2,331",132,132,132,50102101601,Waroona,50102,Bunbury,Bunbury,Rest of WA
NSW,12700,Dungog,Antineoplastic and immunomodulating agents,0.28,0.24,0.25,0.24,"9,722","2,722","2,333","2,431","2,333",389,97,97,10601111001,Dungog,10601,Lower Hunter,Hunter Valley exc Newcastle,Rest of NSW
VIC,23940,Loddon,Antineoplastic and immunomodulating agents,0.35,0.37,0.32,0.26,"7,748","2,712","2,867","2,479","2,014",155,387,465,20202102803,Castlemaine Surrounds,20202,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
VIC,23940,Loddon,"Systemic hormonal preparations, excl. sex hormones and insulins",0.35,0.36,0.36,0.35,"7,748","2,712","2,789","2,789","2,712",77,0,77,20202102803,Castlemaine Surrounds,20202,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
WA,59370,York,Blood and blood forming organs,0.76,0.78,0.8,0.78,"3,567","2,711","2,782","2,854","2,782",71,71,71,50902124504,York - Beverley,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
WA,57210,Port Hedland,Respiratory system,0.14,0.19,0.14,0.17,"17,015","2,382","3,233","2,382","2,893",851,851,510,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
VIC,27630,Yarriambiack,Genito urinary system and sex hormones,0.42,0.42,0.42,0.39,"6,435","2,703","2,703","2,703","2,510",0,0,193,21501139401,Yarriambiack,21501,Grampians,North West,Rest of Vic.
SA,45400,Orroroo Carrieton,Nervous system,3.03,3.02,2.77,2.83,890,"2,697","2,688","2,465","2,519",9,223,53,40503112101,Peterborough - Mount Remarkable,40503,Mid North,Barossa - Yorke - Mid North,Rest of SA
WA,57210,Port Hedland,Antineoplastic and immunomodulating agents,0.12,0.12,0.12,0.12,"17,015","2,042","2,042","2,042","2,042",0,0,0,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,57210,Port Hedland,Genito urinary system and sex hormones,0.12,0.12,0.12,0.12,"17,015","2,042","2,042","2,042","2,042",0,0,0,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
WA,58820,Waroona,Musculo-skeletal system,0.61,0.61,0.64,0.59,"4,399","2,683","2,683","2,815","2,595",0,132,220,50102101601,Waroona,50102,Bunbury,Bunbury,Rest of WA
NSW,17400,Tenterfield,Genito urinary system and sex hormones,0.39,0.37,0.39,0.37,"6,879","2,683","2,545","2,683","2,545",138,138,138,11002119401,Tenterfield,11002,Inverell - Tenterfield,New England and North West,Rest of NSW
NSW,14920,Liverpool Plains,Genito urinary system and sex hormones,0.35,0.33,0.33,0.35,"7,660","2,681","2,528","2,528","2,681",153,0,153,10604112908,Scone Surrounds,10604,Upper Hunter,Hunter Valley exc Newcastle,Rest of NSW
SA,45090,Naracoorte Lucindale,"Systemic hormonal preparations, excl. sex hormones and insulins",0.3,0.32,0.28,0.25,"8,917","2,675","2,853","2,497","2,229",178,357,268,40702115401,Naracoorte,40702,Limestone Coast,South Australia - South East,Rest of SA
NT,70420,Barkly,Alimentary tract and metabolism,0.37,0.32,0.32,0.49,"7,214","2,669","2,308","2,308","3,535",361,0,"1,226",70201105209,Sandover - Plenty,70201,Alice Springs,Northern Territory - Outback,Rest of NT
WA,52940,Dowerin,Nervous system,3.64,3.25,3.17,3.1,733,"2,668","2,382","2,324","2,272",286,59,51,50902123809,Dowerin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
WA,54340,Katanning,Musculo-skeletal system,0.63,0.62,0.63,0.6,"4,233","2,667","2,624","2,667","2,540",42,42,127,50901123001,Katanning,50901,Albany,Western Australia - Wheat Belt,Rest of WA
NT,70700,Coomalie,Nervous system,1.91,1.71,1.61,1.72,"1,396","2,666","2,387","2,248","2,401",279,140,154,70203105704,Alligator,70203,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT
TAS,65610,West Coast,Blood and blood forming organs,0.61,0.6,0.63,0.64,"4,351","2,654","2,611","2,741","2,785",44,131,44,60403109701,West Coast (Tas.),60403,West Coast,West and North West,Rest of Tas.
WA,58890,West Arthur,Nervous system,3.33,3.16,2.92,2.95,797,"2,654","2,519","2,327","2,351",135,191,24,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
TAS,63210,Kentish,Genito urinary system and sex hormones,0.39,0.39,0.38,0.4,"6,805","2,654","2,654","2,586","2,722",0,68,136,60402109101,Sheffield - Railton,60402,Devonport,West and North West,Rest of Tas.
TAS,63210,Kentish,Sensory organs,0.39,0.41,0.38,0.37,"6,805","2,654","2,790","2,586","2,518",136,204,68,60402109101,Sheffield - Railton,60402,Devonport,West and North West,Rest of Tas.
SA,42110,Goyder,Blood and blood forming organs,0.64,0.64,0.58,0.58,"4,144","2,652","2,652","2,404","2,404",0,249,0,40502111801,Goyder,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
WA,53570,Gingin,Sensory organs,0.45,0.39,0.4,0.42,"5,890","2,651","2,297","2,356","2,474",353,59,118,50902123904,Gingin - Dandaragan,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
NSW,14550,Kyogle,"Systemic hormonal preparations, excl. sex hormones and insulins",0.28,0.26,0.26,0.27,"9,453","2,647","2,458","2,458","2,552",189,0,95,11202124501,Casino Surrounds,11202,Richmond Valley - Hinterland,Richmond - Tweed,Rest of NSW
WA,51680,Chittering,Genito urinary system and sex hormones,0.42,0.42,0.4,0.41,"6,296","2,644","2,644","2,518","2,581",0,126,63,50902123601,Chittering,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
WA,57210,Port Hedland,Sensory organs,0.12,0.12,0.11,0.1,"17,015","2,042","2,042","1,872","1,702",0,170,170,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
QLD,32310,Charters Towers,Antineoplastic and immunomodulating agents,0.22,0.16,0.16,0.19,"11,981","2,636","1,917","1,917","2,276",719,0,359,31801146201,Charters Towers,31801,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld
NSW,11600,Carrathool,Antiinfectives for systemic use,0.93,0.98,0.85,0.92,"2,829","2,631","2,772","2,405","2,603",141,368,198,10902117710,Hay,10902,Lower Murray,Murray,Rest of NSW
NSW,17950,Warren,Respiratory system,1.02,1.05,1.01,1.02,"2,578","2,630","2,707","2,604","2,630",77,103,26,10501109408,Coonamble,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
NSW,10950,Bogan,Antiinfectives for systemic use,1.07,1.11,0.84,1.01,"2,454","2,626","2,724","2,061","2,479",98,663,417,10501109501,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
SA,48830,Yorke Peninsula,Dermatologicals,0.22,0.22,0.23,0.22,"11,921","2,623","2,623","2,742","2,623",0,119,119,40504112701,Yorke Peninsula - North,40504,Yorke Peninsula,Barossa - Yorke - Mid North,Rest of SA
SA,43710,Lower Eyre Peninsula,Respiratory system,0.43,0.46,0.43,0.48,"6,099","2,623","2,806","2,623","2,928",183,183,305,40601113001,Eyre Peninsula,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
NSW,12950,Gilgandra,Musculo-skeletal system,0.61,0.61,0.58,0.58,"4,299","2,622","2,622","2,493","2,493",0,129,0,10503110401,Gilgandra,10503,Dubbo,Far West and Orana,Rest of NSW
QLD,36960,Torres Strait Island,Nervous system,0.61,0.53,0.51,0.55,"4,286","2,614","2,272","2,186","2,357",343,86,171,31501140201,Torres Strait Islands,31501,Far North,Queensland - Outback,Rest of Qld
WA,57210,Port Hedland,"Systemic hormonal preparations, excl. sex hormones and insulins",0.12,0.12,0.12,0.12,"17,015","2,042","2,042","2,042","2,042",0,0,0,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
NT,74660,West Arnhem,Cardiovascular system,0.36,0.29,0.27,0.39,"7,260","2,614","2,105","1,960","2,831",508,145,871,70203105701,Alligator,70203,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT
WA,57210,Port Hedland,Dermatologicals,0.11,0.11,0.11,0.1,"17,015","1,872","1,872","1,872","1,702",0,0,170,50901123401,Plantagenet,50901,Albany,Western Australia - Wheat Belt,Rest of WA
SA,47630,Tatiara,Genito urinary system and sex hormones,0.37,0.35,0.36,0.38,"7,038","2,604","2,463","2,534","2,674",141,70,141,40702115701,Tatiara,40702,Limestone Coast,South Australia - South East,Rest of SA
WA,59370,York,Musculo-skeletal system,0.73,0.71,0.65,0.67,"3,567","2,604","2,533","2,319","2,390",71,214,71,50902124504,York - Beverley,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
VIC,26670,Towong,Genito urinary system and sex hormones,0.42,0.43,0.39,0.37,"6,196","2,602","2,664","2,416","2,293",62,248,124,20403107201,Towong,20403,Wodonga - Alpine,Hume,Rest of Vic.
TAS,61810,Dorset,Antineoplastic and immunomodulating agents,0.37,0.32,0.27,0.24,"7,022","2,598","2,247","1,896","1,685",351,351,211,60203105807,Dilston - Lilydale,60203,North East,Launceston and North East,Rest of Tas.
